Fecha,Dia_Semana,Festivo,Dia_sin_carro,Hubo_Protesta,Es_COVID,Hay_Evento,Nombre_Evento
25/11/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
26/11/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
27/11/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
28/11/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
29/11/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
30/11/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
01/12/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
02/12/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
03/12/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
04/12/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
05/12/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
06/12/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
07/12/2015,Lunes,NO,NO,NO,NO,SI,Velitas
08/12/2015,Martes,SI,NO,NO,NO,SI,Alumbrados navideños Bogota
09/12/2015,Miercoles,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
10/12/2015,Jueves,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
11/12/2015,Viernes,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
12/12/2015,Sábado,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
13/12/2015,Domingo,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
14/12/2015,Lunes,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
15/12/2015,Martes,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
16/12/2015,Miercoles,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
17/12/2015,Jueves,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
18/12/2015,Viernes,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
19/12/2015,Sábado,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
20/12/2015,Domingo,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
21/12/2015,Lunes,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
22/12/2015,Martes,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
23/12/2015,Miercoles,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
24/12/2015,Jueves,NO,NO,NO,NO,SI,Nochebuena
25/12/2015,Viernes,SI,NO,NO,NO,SI,Navidad
26/12/2015,Sábado,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
27/12/2015,Domingo,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
28/12/2015,Lunes,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
29/12/2015,Martes,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
30/12/2015,Miercoles,NO,NO,NO,NO,SI,Alumbrados navideños Bogota
31/12/2015,Jueves,NO,NO,NO,NO,SI,Nochevieja
01/01/2016,Viernes,SI,NO,NO,NO,SI,Año Nuevo
02/01/2016,Sábado,NO,NO,NO,NO,NO,Sin_Registro
03/01/2016,Domingo,NO,NO,NO,NO,NO,Sin_Registro
04/01/2016,Lunes,NO,NO,NO,NO,NO,Sin_Registro
05/01/2016,Martes,NO,NO,NO,NO,SI,Fiesta de Reyes - Carnaval de Bogota
06/01/2016,Miercoles,NO,NO,NO,NO,SI,Fiesta de Reyes - Carnaval de Bogota
07/01/2016,Jueves,NO,NO,NO,NO,SI,Fiesta de Reyes - Carnaval de Bogota
08/01/2016,Viernes,NO,NO,NO,NO,SI,Fiesta de Reyes - Carnaval de Bogota
09/01/2016,Sábado,NO,NO,NO,NO,NO,Sin_Registro
10/01/2016,Domingo,NO,NO,NO,NO,NO,Sin_Registro
11/01/2016,Lunes,SI,NO,NO,NO,NO,Sin_Registro
12/01/2016,Martes,NO,NO,NO,NO,NO,Sin_Registro
13/01/2016,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
14/01/2016,Jueves,NO,NO,NO,NO,NO,Sin_Registro
15/01/2016,Viernes,NO,NO,NO,NO,NO,Sin_Registro
16/01/2016,Sábado,NO,NO,NO,NO,NO,Sin_Registro
17/01/2016,Domingo,NO,NO,NO,NO,NO,Sin_Registro
18/01/2016,Lunes,NO,NO,NO,NO,NO,Sin_Registro
